model_scale	stiefel_type	stiefel_lr	stiefel_momentum	stiefel_beta1	stiefel_beta2	layers	training_seconds	total_seconds	peak_vram_mb	mfu_percent	total_tokens_M	num_steps	num_params_M
20	Adam	0.0001		0.8	0.95	1	82.39443945884705	113.96932554244995	4677.13623046875	0.32046379323008495	24.936448	761	3.34237
20	Adam	0.0001		0.8	0.95	1	76.38817358016968	78.86717891693115	4684.8876953125	0.341518877601621	24.969216	381	3.34237
20	Adam	0.0001		0.8	0.95	1	66.71786046028137	75.54344463348389	4684.8876953125	0.36256281743431545	25.165824	96	3.34237
20	Adam	0.0001		0.8	0.95	1	40.264740228652954	74.5151641368866	4684.8876953125	0.3911920749499119	25.165824	24	3.34237
20	Adam	0.0003		0.8	0.95	1	82.63187670707703	84.06141066551208	4684.8876953125	0.3195429616544979	24.936448	761	3.34237
20	Adam	0.0003		0.8	0.95	1	76.4424786567688	78.93329095840454	4684.8876953125	0.3412762610730351	24.969216	381	3.34237
20	Adam	0.0003		0.8	0.95	1	66.728102684021	75.55369281768799	4684.8876953125	0.3625071669760158	25.165824	96	3.34237
20	Adam	0.0003		0.8	0.95	1	40.266939640045166	74.53131151199341	4684.8876953125	0.3911707077361659	25.165824	24	3.34237
20	Adam	0.001		0.8	0.95	1	82.40288281440735	83.83906126022339	4684.8876953125	0.3204309571246232	24.936448	761	3.34237
20	Adam	0.001		0.8	0.95	1	76.3401403427124	78.8207619190216	4684.8876953125	0.3417337613740418	24.969216	381	3.34237
20	Adam	0.001		0.8	0.95	1	66.7079849243164	75.53111219406128	4684.8876953125	0.36261649170055493	25.165824	96	3.34237
20	Adam	0.001		0.8	0.95	1	40.26745104789734	74.52247428894043	4684.8876953125	0.39116573975914554	25.165824	24	3.34237
20	Adam	0.04		0.8	0.95	1	82.39697766304016	83.82092022895813	4684.8876953125	0.32045392147790674	24.936448	761	3.34237
20	Adam	0.04		0.8	0.95	1	76.36009240150452	78.8439736366272	4684.8876953125	0.34164447007169063	24.969216	381	3.34237
20	Adam	0.04		0.8	0.95	1	66.7008900642395	75.52505087852478	4684.8876953125	0.36265506259919983	25.165824	96	3.34237
20	Adam	0.04		0.8	0.95	1	40.25888919830322	74.51005578041077	4684.8876953125	0.39124892889567864	25.165824	24	3.34237
40	Adam	0.0001		0.8	0.95	1	165.9663360118866	167.43180990219116	4684.8876953125	0.3200968449601968	49.840128	1521	3.34237
40	Adam	0.0001		0.8	0.95	1	154.75043988227844	157.26985597610474	4684.8876953125	0.34125181977040014	49.872896	761	3.34237
40	Adam	0.0001		0.8	0.95	1	141.24257016181946	150.07914090156555	4684.8876953125	0.36044573049259915	50.069504	191	3.34237
40	Adam	0.0001		0.8	0.95	1	114.6022560596466	148.85520696640015	4684.8876953125	0.3730588466328659	50.331648	48	3.34237
40	Adam	0.0003		0.8	0.95	1	165.86748099327087	167.33380722999573	4684.8876953125	0.3202876188200148	49.840128	1521	3.34237
40	Adam	0.0003		0.8	0.95	1	154.768696308136	157.28822231292725	4684.8876953125	0.3412115659032099	49.872896	761	3.34237
40	Adam	0.0003		0.8	0.95	1	141.26572585105896	150.1002860069275	4684.8876953125	0.3603866477301477	50.069504	191	3.34237
40	Adam	0.0003		0.8	0.95	1	114.60037159919739	148.85819816589355	4684.8876953125	0.3730649811211917	50.331648	48	3.34237
40	Adam	0.001		0.8	0.95	1	165.9700164794922	167.4408402442932	4684.8876953125	0.32008974665356577	49.840128	1521	3.34237
40	Adam	0.001		0.8	0.95	1	154.79667234420776	157.3166801929474	4684.8876953125	0.3411498995448105	49.872896	761	3.34237
40	Adam	0.001		0.8	0.95	1	141.289715051651	150.12800812721252	4684.8876953125	0.36032545865081567	50.069504	191	3.34237
40	Adam	0.001		0.8	0.95	1	114.61997365951538	148.8880889415741	4684.8876953125	0.37300118035393465	50.331648	48	3.34237
40	Adam	0.04		0.8	0.95	1	165.92278814315796	167.39500331878662	4684.8876953125	0.32018085714165045	49.840128	1521	3.34237
40	Adam	0.04		0.8	0.95	1	154.75682640075684	157.27577328681946	4684.8876953125	0.3412377369599455	49.872896	761	3.34237
40	Adam	0.04		0.8	0.95	1	141.2769317626953	150.11566352844238	4684.8876953125	0.36035806230661827	50.069504	191	3.34237
40	Adam	0.04		0.8	0.95	1	114.60884428024292	148.86861371994019	4684.8876953125	0.3730374015690712	50.331648	48	3.34237
20	Adam	0.0001		0.8	0.95	2	140.2220492362976	174.10868906974792	5176.14111328125	0.3073663640959088	28.868608	881	3.53898	4.598464177232372
20	Adam	0.0001		0.8	0.95	2	129.56298089027405	133.11233592033386	5183.642578125	0.32921592041808223	28.901376	441	3.53898	4.589277389655005
20	Adam	0.0001		0.8	0.95	2	114.19590091705322	126.95816731452942	5183.642578125	0.35011872651475645	29.097984	111	3.53898	4.859124762775454
20	Adam	0.0001		0.8	0.95	2	76.5667462348938	126.28990197181702	5183.642578125	0.3722517825752394	29.360128	28	3.53898	5.685575734621853
20	Adam	0.0003		0.8	0.95	2	140.27658653259277	142.2778673171997	5183.642578125	0.3072468649629158	28.868608	881	3.53898	4.590613740592003
20	Adam	0.0003		0.8	0.95	2	129.6397454738617	133.19604015350342	5183.642578125	0.3290209792528636	28.901376	441	3.53898	4.5807988329990685
20	Adam	0.0003		0.8	0.95	2	114.55375790596008	127.32151055335999	5183.642578125	0.349024982970059	29.097984	111	3.53898	4.835741069624603
20	Adam	0.0003		0.8	0.95	2	76.56054186820984	126.2880117893219	5183.642578125	0.3722819493752841	29.360128	28	3.53898	5.684874528122407
20	Adam	0.001		0.8	0.95	2	140.20716905593872	142.2070255279541	5183.642578125	0.3073989848738961	28.868608	881	3.53898	4.578737775963518
20	Adam	0.001		0.8	0.95	2	129.5609154701233	133.10797929763794	5183.642578125	0.32922116867673734	28.901376	441	3.53898	4.571353641424992
20	Adam	0.001		0.8	0.95	2	114.20761227607727	126.97787714004517	5183.642578125	0.3500828237756523	29.097984	111	3.53898	4.8108763951327065
20	Adam	0.001		0.8	0.95	2	76.56763696670532	126.32179307937622	5183.642578125	0.3722474520706323	29.360128	28	3.53898	5.683917569742441
20	Adam	0.04		0.8	0.95	2	140.119225025177	142.11959886550903	5183.642578125	0.30759191989603185	28.868608	881	3.53898	4.836324373101025
20	Adam	0.04		0.8	0.95	2	129.3980712890625	132.9568703174591	5183.642578125	0.3296354851427168	28.901376	441	3.53898	4.848103622723667
20	Adam	0.04		0.8	0.95	2	114.17298698425293	126.93448734283447	5183.642578125	0.35018899354712013	29.097984	111	3.53898	5.047429501474623
20	Adam	0.04		0.8	0.95	2	76.57532215118408	126.34223580360413	5183.642578125	0.37221009290242324	29.360128	28	3.53898	5.68656227442682
10	Adam	0.0001		0.8	0.95	4	620.7220947742462	653.2954306602478	8268.42138671875	0.48062535190716804	52.461568	1601	11.534472	3.869429243605734
10	Adam	0.0001		0.8	0.95	4	587.6439645290375	596.1440010070801	8302.42333984375	0.5048076167483012	52.494336	801	11.534472	3.80535086614888
10	Adam	0.0001		0.8	0.95	4	541.4012892246246	572.9722650051117	8302.42333984375	0.5292218524244241	52.690944	201	11.534472	4.1083284092312145
10	Adam	0.0001		0.8	0.95	4	450.9330053329468	575.143018245697	8302.42333984375	0.5455763186790504	53.477376	51	11.534472	5.2312094857843485
10	Adam	0.0003		0.8	0.95	4	619.7642104625702	624.3300201892853	8302.42333984375	0.4813681884192054	52.461568	1601	11.534472	3.8549118216350617
10	Adam	0.0003		0.8	0.95	4	586.0860834121704	594.5612699985504	8302.42333984375	0.5061494507826538	52.494336	801	11.534472	3.77703060264418
10	Adam	0.0003		0.8	0.95	4	540.9350416660309	572.5063786506653	8302.42333984375	0.5296780040464145	52.690944	201	11.534472	4.007670735461849
10	Adam	0.0003		0.8	0.95	4	450.8565728664398	575.0160956382751	8302.42333984375	0.5456688087218134	53.477376	51	11.534472	5.217731272379664
10	Adam	0.001		0.8	0.95	4	621.0126731395721	625.5559363365173	8302.42333984375	0.48040046224688887	52.461568	1601	11.534472	3.82460738100422
10	Adam	0.001		0.8	0.95	4	585.2290408611298	593.6968731880188	8302.42333984375	0.5068906847034249	52.494336	801	11.534472	3.768867348275314
10	Adam	0.001		0.8	0.95	4	540.9077537059784	572.5232796669006	8302.42333984375	0.5297047254829553	52.690944	201	11.534472	3.937190850092332
10	Adam	0.001		0.8	0.95	4	450.8317320346832	575.0620229244232	8302.42333984375	0.5456988750771943	53.477376	51	11.534472	5.201331414420438
10	Adam	0.04		0.8	0.95	4	618.3894789218903	622.9386749267578	8302.42333984375	0.48243831016909927	52.461568	1601	11.534472	4.405572233313608
