model_scale	stiefel_type	stiefel_lr	stiefel_momentum	stiefel_beta1	stiefel_beta2	layers	training_seconds	total_seconds	peak_vram_mb	mfu_percent	total_tokens_M	num_steps	num_params_M	loss	batch_size
20	Adam	0.0001		0.8	0.95	1	82.41459012031555	113.57846760749817	4677.13623046875	0.32038543868872443	24.936448	761	3.34237	4.632827502551753	32768
20	Adam	0.0001		0.8	0.95	1	76.34058952331543	78.81861639022827	4684.8876953125	0.34173175064583067	24.969216	381	3.34237	4.679953573357468	65536
20	Adam	0.0001		0.8	0.95	1	66.57938838005066	75.37762379646301	4684.8876953125	0.3633168770429417	25.165824	96	3.34237	5.0776985347527726	262144
20	Adam	0.0001		0.8	0.95	1	40.17552471160889	74.3687195777893	4684.8876953125	0.3920607730809438	25.165824	24	3.34237	5.816791385354093	1048576
20	Adam	0.0003		0.8	0.95	1	83.24787139892578	84.67282128334045	4684.8876953125	0.3171784955739953	24.936448	761	3.34237	4.608219942268388	32768
20	Adam	0.0003		0.8	0.95	1	76.35671424865723	78.84186792373657	4684.8876953125	0.34165958501280214	24.969216	381	3.34237	4.648427653396897	65536
20	Adam	0.0003		0.8	0.95	1	66.71719026565552	75.52137470245361	4684.8876953125	0.3625664594889465	25.165824	96	3.34237	5.0297055388406875	262144
20	Adam	0.0003		0.8	0.95	1	40.177945613861084	74.36731886863708	4684.8876953125	0.39203714965286535	25.165824	24	3.34237	5.816750276013195	1048576
20	Adam	0.001		0.8	0.95	1	83.19999241828918	84.63775897026062	4684.8876953125	0.31736102182918513	24.936448	761	3.34237	4.581928080459266	32768
20	Adam	0.001		0.8	0.95	1	76.4051160812378	78.88823199272156	4684.8876953125	0.3414431472808608	24.969216	381	3.34237	4.618880545842209	65536
20	Adam	0.001		0.8	0.95	1	66.61425471305847	75.44637775421143	4684.8876953125	0.3631267146328554	25.165824	96	3.34237	4.974368157901772	262144
20	Adam	0.001		0.8	0.95	1	40.176241874694824	74.36002230644226	4684.8876953125	0.39205377462860536	25.165824	24	3.34237	5.815538828341763	1048576
20	Adam	0.04		0.8	0.95	1	82.78025722503662	84.20424890518188	4684.8876953125	0.31897019283557837	24.936448	761	3.34237	4.625925649569011	32768
20	Adam	0.04		0.8	0.95	1	76.31280636787415	78.8009021282196	4684.8876953125	0.341856164709463	24.969216	381	3.34237	4.659259439623883	65536
20	Adam	0.04		0.8	0.95	1	66.69951367378235	75.51167631149292	4684.8876953125	0.3626625462364846	25.165824	96	3.34237	5.029169487933331	262144
20	Adam	0.04		0.8	0.95	1	40.17274618148804	74.34603357315063	4684.8876953125	0.39208788978992576	25.165824	24	3.34237	5.824088552762942	1048576
40	Adam	0.0001		0.8	0.95	1	166.31392216682434	167.7776517868042	4684.8876953125	0.3194278616898978	49.840128	1521	3.34237	4.451366153177912	32768
40	Adam	0.0001		0.8	0.95	1	154.94955921173096	157.4689371585846	4684.8876953125	0.3408132910396776	49.872896	761	3.34237	4.481258441122767	65536
40	Adam	0.0001		0.8	0.95	1	141.01451182365417	149.83462142944336	4684.8876953125	0.3610286680444287	50.069504	191	3.34237	4.664454077917235	262144
40	Adam	0.0001		0.8	0.95	1	114.40139675140381	148.59361219406128	4684.8876953125	0.373713841624154	50.331648	48	3.34237	5.320896845922855	1048576
