model_scale	stiefel_type	stiefel_lr	stiefel_momentum	stiefel_beta1	stiefel_beta2	layers	training_seconds	total_seconds	peak_vram_mb	mfu_percent	total_tokens_M	num_steps	num_params_M	loss	batch_size
20	SGD	0.0003	0.5			2	140.43977975845337	174.9607355594635	5175.89111328125	0.30688983928888597	28.868608	881	3.53898	4.46463782121069	32768
20	SGD	0.0003	0.5			2	129.28861594200134	132.83128380775452	5183.392578125	0.3299145535368448	28.901376	441	3.53898	4.504384345053378	65536
20	SGD	0.0003	0.5			2	121.95857429504395	128.5535488128662	5183.392578125	0.34244008983734453	28.966912	221	3.53898	4.626337010181802	131072
20	SGD	0.0003	0.85			2	139.83705139160156	141.8377811908722	5183.392578125	0.308212601817109	28.868608	881	3.53898	4.4654739675570045	32768
20	SGD	0.0003	0.85			2	129.31176924705505	132.85431504249573	5183.392578125	0.3298554822524275	28.901376	441	3.53898	4.504407635335289	65536
20	SGD	0.0003	0.85			2	121.9512882232666	128.5457136631012	5183.392578125	0.34246054917902385	28.966912	221	3.53898	4.625561314898529	131072
20	SGD	0.0003	0.9			2	139.72345614433289	141.72595405578613	5183.392578125	0.30846317883317254	28.868608	881	3.53898	4.464559343415776	32768
20	SGD	0.0003	0.9			2	129.34247660636902	132.88313150405884	5183.392578125	0.3297771708493914	28.901376	441	3.53898	4.504366010343981	65536
20	SGD	0.0003	0.9			2	122.0239474773407	128.6265664100647	5183.392578125	0.34225663077966395	28.966912	221	3.53898	4.626150096911788	131072
20	SGD	0.0003	0.99			2	140.47218132019043	142.52350163459778	5183.392578125	0.30681905153588934	28.868608	881	3.53898	4.4642679817253414	32768
20	SGD	0.0003	0.99			2	130.3490333557129	133.8965425491333	5183.392578125	0.32723062770632	28.901376	441	3.53898	4.503786193735181	65536
20	SGD	0.0003	0.99			2	122.08953356742859	128.69082379341125	5183.392578125	0.3420727716595282	28.966912	221	3.53898	4.626416912987368	131072
20	SGD	0.001	0.5			2	139.76218271255493	141.76821851730347	5183.392578125	0.3083777070688711	28.868608	881	3.53898	4.464240062961037	32768
20	SGD	0.001	0.5			2	129.34440422058105	132.88549256324768	5183.392578125	0.3297722561940945	28.901376	441	3.53898	4.504572472145837	65536
20	SGD	0.001	0.5			2	122.03287720680237	128.63087606430054	5183.392578125	0.34223158622454675	28.966912	221	3.53898	4.626629424067007	131072
20	SGD	0.001	0.85			2	139.7634880542755	141.7676706314087	5183.392578125	0.30837482692977086	28.868608	881	3.53898	4.46365063344767	32768
